Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line,Year,Week
"January 3, 2016 1:00 PM",Jets,-3.0,at Bills,41.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Texans,-5.5,Jaguars,45.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Colts,-5.0,Titans,39.0,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",Patriots,-10.0,at Dolphins,46.5,N/A,N/A,2015,17
"January 3, 2016 1:00 PM",at Giants,-3.5,Eagles,51.0,N/A,N/A,2015,17
"January 3, 2016 4:25 PM",Rams,-3.0,at 49ers,38.5,N/A,N/A,2015,17
"January 3, 2016 4:25 PM",at Cardinals,-6.0,Seahawks,47.0,N/A,N/A,2015,17
"January 3, 2016 4:25 PM",at Chiefs,-6.5,Raiders,43.5,N/A,N/A,2015,17
"January 3, 2016 4:25 PM",at Panthers,-10.0,Buccaneers,44.5,N/A,N/A,2015,17
"January 3, 2016 4:25 PM",at Broncos,-10.0,Chargers,42.0,N/A,N/A,2015,17
"January 3, 2016 8:30 PM",at Packers,-3.0,Vikings,44.0,N/A,N/A,2015,17
"September 8, 2016 8:30 PM",Panthers,-3.0,at Broncos,41.0,-165,+145,2016,1
"September 11, 2016 1:00 PM",at Texans,-6.0,Bears,42.5,+220,-260,2016,1
"September 11, 2016 1:00 PM",at Falcons,-3.0,Buccaneers,47.0,+115,-135,2016,1
"September 11, 2016 1:00 PM",at Ravens,-3.0,Bills,45.0,+130,-150,2016,1
"September 11, 2016 1:00 PM",Packers,-6.0,at Jaguars,48.0,-210,+175,2016,1
"September 11, 2016 1:00 PM",at Chiefs,-7.0,Chargers,46.0,+240,-280,2016,1
"September 11, 2016 1:00 PM",at Saints,-3.0,Raiders,51.0,+130,-150,2016,1
"September 11, 2016 1:00 PM",Bengals,-3.0,at Jets,42.0,-115,-105,2016,1
"September 11, 2016 1:00 PM",at Eagles,-4.0,Browns,41.5,+165,-190,2016,1
"September 11, 2016 1:00 PM",Vikings,-3.0,at Titans,40.5,-145,+125,2016,1
"September 11, 2016 4:05 PM",at Seahawks,-10.5,Dolphins,43.5,+375,-500,2016,1
"September 11, 2016 4:25 PM",Giants,-1.5,at Cowboys,48.0,-120,+100,2016,1
"September 11, 2016 4:25 PM",at Colts,-3.0,Lions,51.5,+130,-150,2016,1
"September 11, 2016 8:30 PM",at Cardinals,-9.0,Patriots,45.0,+300,-400,2016,1
"September 12, 2016 7:10 PM",Steelers,-3.0,at Redskins,50.0,-155,+135,2016,1
"September 12, 2016 10:20 PM",Rams,-3.0,at 49ers,42.5,-145,+125,2016,1
"September 15, 2016 8:25 PM",at Bills,-1.0,Jets,40.5,-105,-115,2016,2
"September 18, 2016 1:00 PM",at Panthers,-12.0,49ers,44.5,+450,-625,2016,2
"September 18, 2016 1:00 PM",Ravens,-4.5,at Browns,42.0,-222,+180,2016,2
"September 18, 2016 1:00 PM",at Lions,-6.0,Titans,48.0,+210,-270,2016,2
"September 18, 2016 1:00 PM",at Texans,-1.0,Chiefs,42.0,-105,-115,2016,2
"September 18, 2016 1:00 PM",at Patriots,-5.5,Dolphins,42.5,+200,-250,2016,2
"September 18, 2016 1:00 PM",at Giants,-3.5,Saints,54.0,+155,-185,2016,2
"September 18, 2016 1:00 PM",at Steelers,-3.0,Bengals,48.5,+145,-165,2016,2
"September 18, 2016 1:00 PM",at Redskins,-3.5,Cowboys,47.0,+160,-180,2016,2
"September 18, 2016 4:05 PM",at Cardinals,-7.0,Buccaneers,49.5,+265,-330,2016,2
"September 18, 2016 4:05 PM",Seahawks,-5.5,at Rams,38.0,-250,+200,2016,2
"September 18, 2016 4:25 PM",at Chargers,-3.0,Jaguars,47.5,+130,-150,2016,2
"September 18, 2016 4:25 PM",at Broncos,-6.5,Colts,47.0,+230,-280,2016,2
"September 18, 2016 4:25 PM",at Raiders,-4.0,Falcons,47.5,+170,-200,2016,2
"September 18, 2016 8:30 PM",Packers,-1.5,at Vikings,42.5,-126,+106,2016,2
"September 19, 2016 8:30 PM",at Bears,-3.0,Eagles,43.0,+140,-160,2016,2
"September 22, 2016 8:25 PM",at Patriots,-1.0,Texans,39.5,-105,-115,2016,3
"September 25, 2016 1:00 PM",at Giants,-3.5,Redskins,47.0,+160,-180,2016,3
"September 25, 2016 1:00 PM",at Dolphins,-10.0,Browns,42.0,+333,-450,2016,3
